run_date,mindate,maxdate,tier,context,pathway,count,query
2026-02-15,2015/01/01,2026/02/15,broadest,neurodegeneration,mTOR,262,"(extracellular vesicle OR exosome OR exosomes) AND (neurologic OR neurological OR ""nervous system"" OR brain OR CNS) AND (mTOR OR PI3K OR AKT)"
2026-02-15,2015/01/01,2026/02/15,broadest,neurodegeneration,Wnt,94,"(extracellular vesicle OR exosome OR exosomes) AND (neurologic OR neurological OR ""nervous system"" OR brain OR CNS) AND (Wnt OR beta-catenin OR CTNNB1)"
2026-02-15,2015/01/01,2026/02/15,broadest,neurodegeneration,Notch,39,"(extracellular vesicle OR exosome OR exosomes) AND (neurologic OR neurological OR ""nervous system"" OR brain OR CNS) AND (Notch OR NOTCH1)"
2026-02-15,2015/01/01,2026/02/15,broadest,neurodegeneration,NF-kB,82,"(extracellular vesicle OR exosome OR exosomes) AND (neurologic OR neurological OR ""nervous system"" OR brain OR CNS) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
2026-02-15,2015/01/01,2026/02/15,broadest,neurodegeneration,Complement,124,"(extracellular vesicle OR exosome OR exosomes) AND (neurologic OR neurological OR ""nervous system"" OR brain OR CNS) AND (complement OR C3 OR C5)"
2026-02-15,2015/01/01,2026/02/15,broadest,neurodegeneration,Sphingolipid/Ceramide,121,"(extracellular vesicle OR exosome OR exosomes) AND (neurologic OR neurological OR ""nervous system"" OR brain OR CNS) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)"
2026-02-15,2015/01/01,2026/02/15,broadest,neurodegeneration,Autophagy,510,"(extracellular vesicle OR exosome OR exosomes) AND (neurologic OR neurological OR ""nervous system"" OR brain OR CNS) AND (autophagy OR mitophagy OR lysosome)"
2026-02-15,2015/01/01,2026/02/15,broadest,neurodegeneration,Hypoxia/HIF-1,295,"(extracellular vesicle OR exosome OR exosomes) AND (neurologic OR neurological OR ""nervous system"" OR brain OR CNS) AND (hypoxia OR HIF-1 OR HIF1A)"
2026-02-15,2015/01/01,2026/02/15,broadest,neurodegeneration,Integrin/Src,97,"(extracellular vesicle OR exosome OR exosomes) AND (neurologic OR neurological OR ""nervous system"" OR brain OR CNS) AND (integrin OR SRC)"
2026-02-15,2015/01/01,2026/02/15,broadest,neurodegeneration,TGF-beta,69,"(extracellular vesicle OR exosome OR exosomes) AND (neurologic OR neurological OR ""nervous system"" OR brain OR CNS) AND (""TGF-beta"" OR TGFB1)"
2026-02-15,2015/01/01,2026/02/15,broadest,tumor_metastasis,mTOR,1107,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy OR carcinoma OR oncology) AND (mTOR OR PI3K OR AKT)
2026-02-15,2015/01/01,2026/02/15,broadest,tumor_metastasis,Wnt,552,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy OR carcinoma OR oncology) AND (Wnt OR beta-catenin OR CTNNB1)
2026-02-15,2015/01/01,2026/02/15,broadest,tumor_metastasis,Notch,150,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy OR carcinoma OR oncology) AND (Notch OR NOTCH1)
2026-02-15,2015/01/01,2026/02/15,broadest,tumor_metastasis,NF-kB,321,"(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy OR carcinoma OR oncology) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
2026-02-15,2015/01/01,2026/02/15,broadest,tumor_metastasis,Complement,329,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy OR carcinoma OR oncology) AND (complement OR C3 OR C5)
2026-02-15,2015/01/01,2026/02/15,broadest,tumor_metastasis,Sphingolipid/Ceramide,229,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy OR carcinoma OR oncology) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)
2026-02-15,2015/01/01,2026/02/15,broadest,tumor_metastasis,Autophagy,1090,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy OR carcinoma OR oncology) AND (autophagy OR mitophagy OR lysosome)
2026-02-15,2015/01/01,2026/02/15,broadest,tumor_metastasis,Hypoxia/HIF-1,865,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy OR carcinoma OR oncology) AND (hypoxia OR HIF-1 OR HIF1A)
2026-02-15,2015/01/01,2026/02/15,broadest,tumor_metastasis,Integrin/Src,561,(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy OR carcinoma OR oncology) AND (integrin OR SRC)
2026-02-15,2015/01/01,2026/02/15,broadest,tumor_metastasis,TGF-beta,467,"(extracellular vesicle OR exosome OR exosomes) AND (cancer OR tumor OR tumour OR neoplasm OR malignancy OR carcinoma OR oncology) AND (""TGF-beta"" OR TGFB1)"
2026-02-15,2015/01/01,2026/02/15,broadest,cardiac_repair,mTOR,316,(extracellular vesicle OR exosome OR exosomes) AND (cardiac OR heart OR myocardial OR cardiovascular OR cardiomyopathy) AND (mTOR OR PI3K OR AKT)
2026-02-15,2015/01/01,2026/02/15,broadest,cardiac_repair,Wnt,99,(extracellular vesicle OR exosome OR exosomes) AND (cardiac OR heart OR myocardial OR cardiovascular OR cardiomyopathy) AND (Wnt OR beta-catenin OR CTNNB1)
2026-02-15,2015/01/01,2026/02/15,broadest,cardiac_repair,Notch,26,(extracellular vesicle OR exosome OR exosomes) AND (cardiac OR heart OR myocardial OR cardiovascular OR cardiomyopathy) AND (Notch OR NOTCH1)
2026-02-15,2015/01/01,2026/02/15,broadest,cardiac_repair,NF-kB,105,"(extracellular vesicle OR exosome OR exosomes) AND (cardiac OR heart OR myocardial OR cardiovascular OR cardiomyopathy) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
2026-02-15,2015/01/01,2026/02/15,broadest,cardiac_repair,Complement,126,(extracellular vesicle OR exosome OR exosomes) AND (cardiac OR heart OR myocardial OR cardiovascular OR cardiomyopathy) AND (complement OR C3 OR C5)
2026-02-15,2015/01/01,2026/02/15,broadest,cardiac_repair,Sphingolipid/Ceramide,72,(extracellular vesicle OR exosome OR exosomes) AND (cardiac OR heart OR myocardial OR cardiovascular OR cardiomyopathy) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)
2026-02-15,2015/01/01,2026/02/15,broadest,cardiac_repair,Autophagy,321,(extracellular vesicle OR exosome OR exosomes) AND (cardiac OR heart OR myocardial OR cardiovascular OR cardiomyopathy) AND (autophagy OR mitophagy OR lysosome)
2026-02-15,2015/01/01,2026/02/15,broadest,cardiac_repair,Hypoxia/HIF-1,464,(extracellular vesicle OR exosome OR exosomes) AND (cardiac OR heart OR myocardial OR cardiovascular OR cardiomyopathy) AND (hypoxia OR HIF-1 OR HIF1A)
2026-02-15,2015/01/01,2026/02/15,broadest,cardiac_repair,Integrin/Src,119,(extracellular vesicle OR exosome OR exosomes) AND (cardiac OR heart OR myocardial OR cardiovascular OR cardiomyopathy) AND (integrin OR SRC)
2026-02-15,2015/01/01,2026/02/15,broadest,cardiac_repair,TGF-beta,104,"(extracellular vesicle OR exosome OR exosomes) AND (cardiac OR heart OR myocardial OR cardiovascular OR cardiomyopathy) AND (""TGF-beta"" OR TGFB1)"
