pathway,context,count,ev_clause_label,ev_clause,query
Autophagy,tumor_metastasis,98,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (autophagy OR mitophagy OR lysosome)"
Hypoxia/HIF-1,tumor_metastasis,104,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (hypoxia OR HIF-1 OR HIF1A)"
Integrin/Src,tumor_metastasis,136,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (integrin OR SRC)"
TGF-beta,tumor_metastasis,61,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""TGF-beta"" OR TGFB1)"
mTOR,cardiac_repair,21,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (mTOR OR PI3K OR AKT)"
Wnt,cardiac_repair,6,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (Wnt OR beta-catenin OR CTNNB1)"
Notch,cardiac_repair,4,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (Notch OR NOTCH1)"
NF-kB,cardiac_repair,3,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
Complement,cardiac_repair,8,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (complement OR C3 OR C5)"
Sphingolipid/Ceramide,cardiac_repair,2,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)"
